,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
f1-score,0.14285714285714288,0.08333333333333333,0.4,0.16666666666666666,0.6666666666666666,0.35294117647058826,0.5333333333333333,0.35294117647058826,0.125,0.5454545454545454,0.14285714285714288,0.16666666666666666,0.23076923076923075,0.25,0.5263157894736842,0.0,0.4,0.0,0.0,0.2,0.0,0.26666666666666666,0.11111111111111112,0.2857142857142857,0.4705882352941176,0.2857142857142857,0.20000000000000004,0.32,0.5263157894736842,0.0,0.2757201646090535,0.258397108166458,0.27226328915202513
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.2757201646090535,243.0,243.0
precision,0.3333333333333333,0.2,0.1,0.0,1.0,0.16666666666666666,0.75,0.16666666666666666,0.2727272727272727,0.375,0.0,0.5,0.0,0.2,0.125,0.0,0.2857142857142857,0.09090909090909093,0.0,0.375,0.0,0.5,0.375,0.2,0.3333333333333333,0.35714285714285715,0.2,0.3636363636363637,0.2,0.25,0.25925925925925924,0.2573376623376623,0.2716984661429106
recall,0.16666666666666666,0.2,0.14285714285714285,0.0,0.4545454545454545,0.2222222222222222,0.75,0.25,0.375,0.5,0.0,0.5,0.0,0.375,0.1111111111111111,0.0,0.5714285714285714,0.125,0.0,0.3333333333333333,0.0,0.2857142857142857,0.375,0.2222222222222222,0.25,0.7142857142857143,0.1,0.3333333333333333,0.16666666666666666,0.125,0.25925925925925924,0.2549795574795575,0.25925925925925924
f1-score,0.2222222222222222,0.20000000000000004,0.1176470588235294,0.0,0.625,0.1904761904761905,0.75,0.2,0.3157894736842105,0.42857142857142855,0.0,0.5,0.0,0.2608695652173913,0.1176470588235294,0.0,0.3809523809523809,0.10526315789473684,0.0,0.35294117647058826,0.0,0.3636363636363637,0.375,0.2105263157894737,0.2857142857142857,0.4761904761904762,0.13333333333333333,0.3478260869565217,0.1818181818181818,0.16666666666666666,0.25925925925925924,0.2436030474413837,0.2524960999508942
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.25925925925925924,243.0,243.0
precision,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.0,0.3333333333333333,0.38461538461538464,0.7,0.5714285714285714,0.25,0.6666666666666666,0.1,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.6,0.09090909090909091,0.3,0.4,0.0,0.0,0.1,0.3333333333333333,0.5,0.18181818181818182,0.46153846153846156,0.42857142857142855,0.4166666666666667,0.0,0.30864197530864196,0.29515318015318015,0.3021505928913336
recall,0.16666666666666666,0.2,0.14285714285714285,0.0,0.2727272727272727,0.5555555555555556,0.875,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0,0.0,0.125,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.1111111111111111,0.5,0.4444444444444444,0.0,0.0,0.125,0.625,0.25,0.2857142857142857,0.6,0.25,0.4166666666666667,0.0,0.30864197530864196,0.3037469937469937,0.30864197530864196
f1-score,0.2222222222222222,0.23529411764705882,0.15384615384615383,0.0,0.3,0.4545454545454546,0.7777777777777777,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.125,0.0,0.0,0.18181818181818182,0.28571428571428575,0.6153846153846153,0.5,0.09999999999999999,0.37499999999999994,0.4210526315789474,0.0,0.0,0.11111111111111112,0.43478260869565216,0.3333333333333333,0.2222222222222222,0.5217391304347826,0.3157894736842105,0.4166666666666667,0.0,0.30864197530864196,0.28788777733386695,0.2939466634580378
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.30864197530864196,243.0,243.0
