,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
f1-score,0.13333333333333333,0.1818181818181818,0.1111111111111111,0.2222222222222222,0.3478260869565217,0.4,0.5882352941176471,0.13333333333333333,0.1904761904761905,0.375,0.2857142857142857,0.5263157894736842,0.0909090909090909,0.14285714285714288,0.30769230769230765,0.15384615384615385,0.18181818181818185,0.125,0.0,0.4,0.0,0.0,0.2,0.15384615384615385,0.26666666666666666,0.4,0.1818181818181818,0.4210526315789474,0.1111111111111111,0.15384615384615385,0.24279835390946505,0.2261949868182201,0.23342139158629924
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.24279835390946505,243.0,243.0
precision,0.0,0.09090909090909093,0.08333333333333333,0.06666666666666668,0.21739130434782608,0.17647058823529413,0.4166666666666667,0.2727272727272727,0.1,0.2,0.09090909090909093,0.3333333333333333,0.16666666666666666,0.1,0.18181818181818185,0.0,0.25,0.0,0.0,0.2857142857142857,0.2,1.0,0.0,0.0,0.5,0.3076923076923077,0.3333333333333333,0.5,0.2222222222222222,0.3333333333333333,0.18930041152263372,0.2143062559302968,0.22158110414243784
recall,0.0,0.1,0.14285714285714285,0.16666666666666666,0.4545454545454545,0.3333333333333333,0.625,0.375,0.125,0.16666666666666666,0.16666666666666666,0.25,0.1,0.125,0.2222222222222222,0.0,0.14285714285714285,0.0,0.0,0.2222222222222222,0.2,0.14285714285714285,0.0,0.0,0.125,0.5714285714285714,0.2,0.25,0.16666666666666666,0.125,0.18930041152263372,0.18329966329966327,0.18930041152263372
f1-score,0.0,0.09523809523809523,0.10526315789473684,0.09523809523809522,0.29411764705882354,0.2307692307692308,0.5,0.3157894736842105,0.11111111111111112,0.1818181818181818,0.11764705882352942,0.2857142857142857,0.125,0.11111111111111112,0.2,0.0,0.18181818181818185,0.0,0.0,0.25,0.20000000000000004,0.25,0.0,0.0,0.2,0.4,0.25,0.3333333333333333,0.1904761904761905,0.18181818181818185,0.18930041152263372,0.17354211119690996,0.18075084417055906
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.18930041152263372,243.0,243.0
precision,0.16666666666666666,0.15384615384615385,0.15384615384615385,1.0,0.09090909090909091,0.45454545454545453,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.0,0.0,0.5,0.09090909090909091,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.08333333333333333,0.125,0.3333333333333333,0.14285714285714285,0.0,0.125,0.5,0.2,0.0,0.3,0.5714285714285714,0.2631578947368421,0.18181818181818182,0.2857142857142857,0.2345679012345679,0.2558248768775085,0.25553734043012793
recall,0.3333333333333333,0.2,0.2857142857142857,0.3333333333333333,0.09090909090909091,0.5555555555555556,0.625,0.25,0.25,0.0,0.0,0.25,0.1,0.25,0.2222222222222222,0.42857142857142855,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.14285714285714285,0.25,0.125,0.0,0.42857142857142855,0.4,0.4166666666666667,0.16666666666666666,0.25,0.2345679012345679,0.2295382395382396,0.2345679012345679
f1-score,0.2222222222222222,0.17391304347826086,0.2,0.5,0.09090909090909091,0.5,0.5882352941176471,0.28571428571428575,0.23529411764705882,0.0,0.0,0.3333333333333333,0.09523809523809525,0.23529411764705882,0.25,0.375,0.10526315789473685,0.11764705882352941,0.2222222222222222,0.125,0.0,0.13333333333333333,0.3333333333333333,0.15384615384615385,0.0,0.3529411764705882,0.47058823529411764,0.3225806451612903,0.17391304347826086,0.26666666666666666,0.2345679012345679,0.22874962089437617,0.23282020696375597
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.2345679012345679,243.0,243.0
