,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
f1-score,0.2857142857142857,0.16666666666666669,0.03508771929824562,0.3333333333333333,0.0,0.3636363636363637,0.6666666666666666,0.1176470588235294,0.0,0.2,0.0,0.1176470588235294,0.0,0.13333333333333333,0.2857142857142857,0.0,0.15384615384615385,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.24,0.2352941176470588,0.26666666666666666,0.2857142857142857,0.10526315789473684,0.22222222222222224,0.1646090534979424,0.1599262236444899,0.16248243156204786
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.1646090534979424,243.0,243.0
precision,0.07692307692307693,0.0,0.375,0.4,0.4,0.6,0.75,0.375,0.25,0.125,0.0,0.5,0.08333333333333333,0.0,0.4166666666666667,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.125,0.3333333333333333,0.25,0.046875,0.14285714285714285,0.14285714285714285,0.2,0.08333333333333333,0.1646090534979424,0.21698374542124546,0.2249280683308461
recall,0.16666666666666666,0.0,0.42857142857142855,0.3333333333333333,0.18181818181818185,0.3333333333333333,0.375,0.375,0.125,0.16666666666666666,0.0,0.125,0.1,0.0,0.5555555555555556,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.125,0.1111111111111111,0.125,0.42857142857142855,0.1,0.08333333333333333,0.08333333333333333,0.125,0.1646090534979424,0.1649098124098124,0.1646090534979424
f1-score,0.10526315789473684,0.0,0.4,0.3636363636363636,0.2500000000000001,0.42857142857142855,0.5,0.375,0.16666666666666666,0.14285714285714288,0.0,0.2,0.0909090909090909,0.0,0.4761904761904762,0.0,0.0,0.0,0.2222222222222222,0.4,0.0,0.0,0.125,0.16666666666666666,0.16666666666666666,0.08450704225352113,0.1176470588235294,0.10526315789473684,0.1176470588235294,0.1,0.1646090534979424,0.17015714000255924,0.17372605153459528
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.1646090534979424,243.0,243.0
precision,0.1,0.0,0.0,0.125,1.0,0.2222222222222222,0.8,0.25,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.2,0.2,0.13636363636363635,0.0,0.25,0.024390243902439025,0.6,0.4,0.0,0.16666666666666666,0.1,0.2,0.625,0.06666666666666667,0.08333333333333333,0.16049382716049382,0.203506610823684,0.22356790833153373
recall,0.16666666666666666,0.0,0.0,0.16666666666666666,0.09090909090909091,0.2222222222222222,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.4444444444444444,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.0,0.1111111111111111,0.2,0.42857142857142855,0.25,0.0,0.125,0.14285714285714285,0.1,0.4166666666666667,0.08333333333333333,0.125,0.16049382716049382,0.1564165464165464,0.16049382716049382
f1-score,0.125,0.0,0.0,0.14285714285714288,0.16666666666666669,0.2222222222222222,0.6153846153846154,0.25,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.380952380952381,0.16666666666666666,0.16666666666666666,0.1935483870967742,0.0,0.15384615384615383,0.04347826086956522,0.5,0.3076923076923077,0.0,0.14285714285714288,0.11764705882352941,0.13333333333333333,0.5,0.07407407407407407,0.1,0.16049382716049382,0.15793957325521005,0.16585144126687676
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.16049382716049382,243.0,243.0
