,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
f1-score,0.21052631578947367,0.16,0.0,0.07692307692307691,0.18181818181818185,0.21428571428571427,0.625,0.2857142857142857,0.2307692307692308,0.0,0.0,0.16666666666666666,0.0,0.13333333333333333,0.13333333333333333,0.15384615384615385,0.4,0.15384615384615385,0.0,0.16666666666666666,0.0,0.4,0.0,0.09090909090909093,0.0,0.13333333333333333,0.0,0.2,0.125,0.0,0.14814814814814814,0.1413990512411565,0.14447440509818674
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.14814814814814814,243.0,243.0
precision,0.2,0.06451612903225806,0.1,0.18181818181818185,0.125,0.2,0.25,0.6,0.0,0.4,0.0,0.0,0.09090909090909093,0.14285714285714285,0.5,0.0,0.6666666666666666,0.0,0.3333333333333333,0.42857142857142855,0.5,0.6666666666666666,0.3333333333333333,0.06666666666666668,0.0,0.14285714285714285,0.5,0.3,0.25,1.0,0.16872427983539096,0.2681065260903971,0.26386897650338514
recall,0.3333333333333333,0.2,0.2857142857142857,0.3333333333333333,0.18181818181818185,0.4444444444444444,0.125,0.375,0.0,0.3333333333333333,0.0,0.0,0.1,0.125,0.1111111111111111,0.0,0.2857142857142857,0.0,0.16666666666666666,0.3333333333333333,0.2,0.2857142857142857,0.125,0.1111111111111111,0.0,0.14285714285714285,0.1,0.25,0.08333333333333333,0.125,0.16872427983539096,0.17189393939393938,0.16872427983539096
f1-score,0.25,0.0975609756097561,0.14814814814814814,0.23529411764705885,0.14814814814814814,0.2758620689655173,0.16666666666666666,0.4615384615384615,0.0,0.3636363636363636,0.0,0.0,0.09523809523809523,0.13333333333333333,0.1818181818181818,0.0,0.4,0.0,0.2222222222222222,0.375,0.2857142857142857,0.4,0.18181818181818185,0.08333333333333334,0.0,0.14285714285714285,0.16666666666666669,0.2727272727272727,0.125,0.2222222222222222,0.16872427983539096,0.1811601962770353,0.17719461788406846
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.16872427983539096,243.0,243.0
precision,0.36363636363636365,0.125,0.07692307692307693,0.05263157894736842,0.09090909090909091,0.3333333333333333,0.625,0.36363636363636365,0.0625,0.2,0.1111111111111111,0.0,0.0,0.2857142857142857,0.5,0.0,0.0,0.16666666666666666,0.5,0.6,0.0,0.0,0.1111111111111111,0.0,0.2,0.2,0.8,0.0,0.16666666666666666,0.5,0.1934156378600823,0.2144946549551813,0.21866843598487523
recall,0.6666666666666666,0.4,0.14285714285714285,0.16666666666666666,0.09090909090909091,0.6666666666666666,0.625,0.5,0.125,0.16666666666666666,0.16666666666666666,0.0,0.0,0.25,0.2222222222222222,0.0,0.0,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.0,0.0,0.125,0.0,0.125,0.14285714285714285,0.4,0.0,0.08333333333333333,0.125,0.1934156378600823,0.1933874458874459,0.1934156378600823
f1-score,0.4705882352941177,0.19047619047619047,0.1,0.08,0.09090909090909091,0.4444444444444444,0.625,0.4210526315789474,0.08333333333333333,0.1818181818181818,0.13333333333333333,0.0,0.0,0.26666666666666666,0.30769230769230765,0.0,0.0,0.13333333333333333,0.25,0.42857142857142855,0.0,0.0,0.11764705882352941,0.0,0.15384615384615385,0.16666666666666666,0.5333333333333333,0.0,0.1111111111111111,0.2,0.1934156378600823,0.182994116707739,0.1847706753956037
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.1934156378600823,243.0,243.0
